initials,date,course_id,Time(m),summary
JC,1/8/24,Acct-215,50,class
JC,1/8/24,Acct-441,75,class
JC,1/8/24,Spor-101,50,class
JC,1/9/24,DS-160,75,class and assignment
JC,1/9/24,MKTG-330,75,class
JC,1/10/24,Acct-215,50,class
JC,1/10/24,Acct-441,75,class
JC,1/10/24,Spor-101,75,class and assignment
JC,1/11/24,DS-160,75,class and assignment
JC,1/11/24,MKTG-330,75,class
JC,1/12/24,Acct-215,50,class
JC,1/12/24,Acct-441,75,class
JC,1/12/24,Spor-101,50,class
JC,1/15/24,Acct-215,50,class
JC,1/15/24,Acct-441,75,class
JC,1/15/24,Spor-101,75,class and assignment
JC,1/16/24,DS-160,75,class and statistics assignment
JC,1/16/24,MKTG-330,75,class
JC,1/17/24,DS-160,75,class and statistics assigment
JC,1/17/24,MKTG-330,90,quiz 1 and class
JC,1/19/24,Acct-441,30,read al capone case study
JC,1/22/24,Spor-101,50,class
JC,1/22/24,Spor-101,30,SWAT analysis assignment 2
JC,1/22/24,Acct-215,50,class
JC,1/22/24,Acct-441,90,class and discussion of al capone case presentation
JC,1/23/24,DS-160,75,Class Pandas
JC,1/23/24,MKTG-330,75,class
JC,1/24/24,Acct-441,60,Practice testifying in al capone case
JC,1/24/24,Spor-101,50,guest speaker
JC,1/24/24,Acct-215,50,class
JC,1/25/24,DS-160,50,Pandas in class work
JC,1/25/24,MKTG-330,50,class and SEO work
JC,1/26/24,Spor-101,50,class and deflate gate essay
JC,1/26/24,Acct-215,50,class review for test Monday
JC,1/27/24,Acct-215,120,studying for test 1
JC,1/29/24,Acct-215,30,test
JC,1/29/24,Acct-441,75,class
JC,1/30/24,DS-160,90,class and Pandas practice NB
JC,1/30/24,MKTG-330,120,class and SEO certification studying
JC,1/31/24,Acct-441,65,class and interogation discussion
JC,1/31/24,Spor-101,50,class and Kahoot chapter 5
JC,1/31/24,Acct-215,50,class
JC,2/1/24,DS-160,50,class and Matplotlib
JC,2/1/24,MKTG-330,95,class and SEO certification test
JC,2/4/24,Spor-101,45,Answering questions for case 1
JC,2/5/24,MKTG-330,45,Building a Proffessional Linkedin account
JC,2/5/24,Acct-441,75,class
JC,2/6/24,Spor-101,50,class
JC,2/6/24,Acct-215,50,class
JC,2/7/24,MKTG-330,10,quiz 3
JC,2/7/24,Spor-101,60,Sepcial assignment 1 case study
JC,2/8/24,Acct-215,60,chapter 4 homework
JC,2/12/24,Acct-441,75,interogation discussion and case review
JC,2/12/24,Acct-215,50,Class chapter 5
JC,2/13/24,DS-160,75,seaborn notebook
JC,2/13/24,MKTG-330,75,in class Review for test
JC,2/13/24,Spor-101,45,studied for midterm
JC,2/14/24,Spor-101,25,review for midterm
JC,2/14/24,Acct-441,70,went over project 1 as a class
JC,2/14/24,Acct-215,50,chapter 6 lecture
JC,2/15/24,DS-160,75,worked on individual project 1 in class
JC,2/15/24,MKTG-330,75,test
JC,2/16/24,Spor-101,50,test
JC,2/19/24,Acct-441,70,lecture of tax fraud
JC,2/19/24,Acct-215,50,chapter 6 review
JC,2/20/24,DS-160,75,tabluea
JC,2/20/24,MKTG-330,75,Google adds and test review
JC,2/21/24,Acct-441,70,guest speaker on fraud case
JC,2/21/24,Acct-215,50,chapter 6 lecture
JC,2/23/24,Spor-101,50,guest speaker
JC,2/23/24,Acct-215,50,chapter 7 lecture
JC,3/4/24,Acct-441,75,discussion of second half of the semester and project
JC,3/4/24,Acct-215,50,chapter 7 lecture
JC,3/4/24,Spor-101,50,assignment 5 workday
JC,3/5/24,DS-160,75,Tableau
JC,3/5/24,MKTG-330,75,Building an advertisement online
JC,3/6/24,Acct-441,75,Discussion of upcoming project
JC,3/6/24,Acct-215,50,Test review
JC,3/6/24,Spor-101,50,workday for assignment 5
JC,3/7/24,MKTG-330,50,chapter lecture for google ads certification
JC,3/12/24,Acct-215,50,test
JC,3/12/24,Spor-101,50,class work day assigment 6/7
JC,3/13/24,Acct-441,75,Going over case 2 bank rec
JC,3/13/24,Acct-215,50,lecture over chapter 8
JC,3/13/24,Spor-101,50,lecture over chapter 15
JC,3/18/24,Acct-441,75,"Final discussion, Project 3 overview, lecture"
JC,3/18/24,Acct-215,50,lecture over chapter 8
JC,3/18/24,Spor-101,50,finish lecture over chapter 15
JC,3/19/24,DS-160,120,project work day
JC,3/19/24,MKTG-330,65,project presentation work day
JC,3/20/24,DS-160,20,project presentation review
JC,3/20/24,Acct-215,50,lecture over chapter 9
JC,3/20/24,Spor-101,45,looking toward a future in sports business
JC,3/21/24,MKTG-330,75,project presentation over spotify
JC,3/21/24,DS-160,75,project presentation over spotify
JC,3/25/24,Acct-441,75,Overview of insurance fraud case
JC,3/25/24,Acct-215,50,chapter 9 lecture and test review
JC,3/25/24,Spor-101,50,chapter lecture with final overview
JC,3/26/24,MKTG-330,75,Email certification overview and lecture
JC,3/26/24,DS-160,75,R regression and team project 2 overview
JC,3/27/24,Acct-441,75,Case Pitch work and interview
JC,3/27/24,Acct-215,50,chapter lecture with overview of easter break work
JC,3/27/24,Spor-101,50,chapter 9 lecture
JC,3/27/24,MKTG-330,15,Quiz 7
JC,3/28/24,MKTG-330,240,Email certification class and test
JC,4/3/24,Acct-441,20,Case Pitch 
JC,4/3/24,DS-160,60,Podcast Summary 3
JC,4/4/24,DS-160,75,Mini assignment linear regression model
JC,4/4/24,MKTG-330,75,email marketing lecture
JC,4/8/24,Acct-215,50,review for test
JC,4/8/24,Spor-101,50,Assignment 9 work time
JC,4/8/24,Acct-441,75,Feed back on case pitch and preparing for final
JC,4/9/24,DS-160,75,start on linear and logistic models
JC,4/9/24,MKTG-330,75,Overview of Email marketing
JC,4/10/24,Acct-215,50,test
JC,4/10/24,Spor-101,50,project work day
JC,4/11/24,DS-160,75,Linear and logistic regression model
JC,4/11/24,MKTG-330,75,Final project discussion
JC,4/13/24,Acct-215,90,homework chapter 9
JC,4/15/24,Acct-215,50,
JC,4/15/24,Spor-101,50,Masters 
JC,4/15/24,Acct-441,75,
JC,,,,
JC,,,,
JC,,,,
JC,,,,
JC,,,,